                                          Random 10 Sample Of Analytical File


The SURVEYSELECT Procedure

Selection Method     SRS
Input Data Set       analytical_file
Number of Obs Read   60
Sample Size          10
Sampling Weight      6.0000
                                          Random 10 Sample Of Analytical File


  Obs  DEPVAR7  ECYEDUUD  ECYPOWNFIX  HSTA001S  HSRE001  HSHC001  HSRE011  HSRE040  HSED005  HSHC007  HSSH037A  HSRO002  HSRE052  HSRE042  ECYMARSING  HSTA002B  HSHC003  HSRM014  HSTA005  SV00058  SamplingWeight
-----  -------  --------  ----------  --------  -------  -------  -------  -------  -------  -------  --------  -------  -------  -------  ----------  --------  -------  -------  -------  -------  --------------
    1   100.63     17.93        1.02    287.12   428.68    83.31   110.28   164.78    61.05    69.72    130.27   248.92    11.74    24.02        5.86      7.63    44.93    120.5    29.46    51.31               6
    2    95.17      14.7        8.95     66.09   248.98    50.17   103.27   319.73     8.54    95.63     98.39   148.64   103.98     88.2       67.25     69.81     51.7    81.88    63.54    45.86               6
    3    88.56      2.44        9.13    117.63   436.16    97.74    28.93    76.21    79.73    21.19    114.62     8.99   157.94   118.98       61.99    118.29    84.08     4.93    90.72     4.03               6
    4    86.42      4.47        8.97     11.27   274.65   170.43   126.94   103.45    68.97    31.81     29.45   146.17    14.46   260.05       48.31     80.37    74.62   115.09   108.79     47.1               6
    5    95.09     22.27        3.45    139.01      140    58.11   421.11   365.47    58.16     46.4    104.76   168.89    28.19   109.74       34.28    104.58     66.3    58.77    42.14       22               6
    6    95.31     24.46        3.08    127.87    70.04    83.22   182.29   338.77    93.38    35.14     88.03    35.15   132.36   292.77       54.95     12.55    69.94    86.42    95.48    29.45               6
    7    117.3      3.61        9.53     24.87   171.37    15.71     96.4   206.91    24.55   198.13     36.62    43.65    23.72   118.34       69.12     78.66    70.72     0.53    72.71    44.34               6
    8    81.76     17.22        9.67    129.63   142.23   120.11   209.04   277.36    47.73   153.03    116.79   104.83   122.48    39.91       28.58     87.51    69.37    37.56      8.7    25.39               6
    9    75.16     12.13        6.77    292.78    43.43    15.89   485.49   184.21    62.79    39.32      52.7   100.09    40.05   317.39       66.35      72.4    87.62     11.6    67.04    21.93               6
   10   116.94     35.41        6.46    248.41   285.56    95.88   406.93   343.37    50.82   163.71     74.91   122.53     60.6   313.25       50.63     91.82    80.03    23.88    82.93    59.16               6
